AUC
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
CM1.arff(All),0.549,0.657,0.687,0.511,0.704,0.778,0.731,0.739
CM1.arff(CFS),0.725,0.751,0.715,0.717,0.787,0.83,0.739,0.797
CM1.arff(RFE),0.764,0.757,0.77,0.676,0.781,0.822,0.757,0.813
JM1.arff(All),0.536,0.578,0.648,0.593,0.62,0.657,0.612,0.647
JM1.arff(CFS),0.531,0.578,0.653,0.65,0.63,0.65,0.594,0.65
JM1.arff(RFE),0.588,0.607,0.644,0.643,0.629,0.677,0.613,0.655
KC1.arff(All),0.542,0.553,0.633,0.627,0.642,0.625,0.576,0.642
KC1.arff(CFS),0.534,0.569,0.654,0.641,0.642,0.608,0.586,0.637
KC1.arff(RFE),0.595,0.572,0.634,0.578,0.644,0.621,0.585,0.642
KC3.arff(All),0.252,0.416,0.367,0.494,0.504,0.358,0.433,0.381
KC3.arff(CFS),0.627,0.561,0.627,0.7,0.668,0.611,0.538,0.709
KC3.arff(RFE),0.594,0.556,0.443,0.598,0.608,0.596,0.537,0.574
KC4.arff(All),0.732,0.782,0.758,0.78,0.755,0.796,0.763,0.814
KC4.arff(CFS),0.734,0.759,0.768,0.782,0.742,0.815,0.721,0.822
KC4.arff(RFE),0.731,0.732,0.764,0.789,0.759,0.805,0.758,0.809
MC1.arff(All),0.59,0.931,0.937,0.499,0.819,0.973,0.941,0.928
MC1.arff(CFS),0.262,0.836,0.912,0.501,0.871,0.925,0.841,0.938
MC1.arff(RFE),0.912,0.938,0.927,0.912,0.844,0.968,0.891,0.881
MC2.arff(All),0.492,0.546,0.635,0.453,0.538,0.65,0.636,0.583
MC2.arff(CFS),0.875,0.746,0.898,0.927,0.741,0.817,0.707,0.844
MC2.arff(RFE),0.788,0.562,0.827,0.886,0.82,0.762,0.6,0.817
MW1.arff(All),0.503,0.613,0.418,0.483,0.425,0.661,0.541,0.613
MW1.arff(CFS),0.483,0.439,0.511,0.271,0.61,0.668,0.561,0.67
MW1.arff(RFE),0.78,0.509,0.652,0.697,0.425,0.469,0.557,0.508
PC1.arff(All),0.594,0.722,0.807,0.501,0.757,0.852,0.771,0.815
PC1.arff(CFS),0.742,0.715,0.86,0.372,0.818,0.849,0.779,0.845
PC1.arff(RFE),0.794,0.66,0.828,0.786,0.772,0.816,0.776,0.839
PC2.arff(All),0.646,0.555,0.924,0.278,0.882,0.851,0.812,0.884
PC2.arff(CFS),0.662,0.671,0.84,0.235,0.871,0.782,0.72,0.853
PC2.arff(RFE),0.862,0.668,0.929,0.429,0.905,0.893,0.662,0.917
PC3.arff(All),0.621,0.746,0.821,0.423,0.779,0.845,0.758,0.837
PC3.arff(CFS),0.779,0.737,0.842,0.746,0.812,0.839,0.766,0.843
PC3.arff(RFE),0.724,0.682,0.739,0.776,0.784,0.814,0.73,0.805
PC4.arff(All),0.691,0.893,0.839,0.5,0.772,0.905,0.829,0.895
PC4.arff(CFS),0.759,0.898,0.888,0.894,0.873,0.909,0.877,0.898
PC4.arff(RFE),0.887,0.895,0.894,0.893,0.896,0.916,0.892,0.906
PC5.arff(All),0.59,0.662,0.691,0.62,0.664,0.744,0.701,0.714
PC5.arff(CFS),0.652,0.631,0.68,0.662,0.694,0.712,0.646,0.705
PC5.arff(RFE),0.666,0.68,0.702,0.706,0.694,0.748,0.685,0.728

F1 Score
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
CM1.arff(All),0.233,0.303,0.265,0.137,0.317,0.347,0.357,0.341
CM1.arff(CFS),0.34,0.385,0.328,0.345,0.342,0.398,0.363,0.371
CM1.arff(RFE),0.317,0.386,0.358,0.315,0.391,0.384,0.349,0.421
JM1.arff(All),0.274,0.303,0.328,0.249,0.307,0.323,0.319,0.324
JM1.arff(CFS),0.264,0.302,0.327,0.321,0.307,0.319,0.305,0.327
JM1.arff(RFE),0.297,0.323,0.319,0.316,0.308,0.327,0.32,0.321
KC1.arff(All),0.349,0.357,0.395,0.386,0.376,0.378,0.358,0.382
KC1.arff(CFS),0.351,0.369,0.404,0.403,0.363,0.352,0.373,0.37
KC1.arff(RFE),0.351,0.37,0.39,0.356,0.369,0.372,0.371,0.385
KC3.arff(All),0.052,0.089,0.089,0.142,0.087,0.101,0.081,0.024
KC3.arff(CFS),0.234,0.176,0.217,0.184,0.203,0.193,0.169,0.194
KC3.arff(RFE),0.148,0.16,0.114,0.146,0.204,0.123,0.125,0.155
KC4.arff(All),0.64,0.755,0.664,0.682,0.52,0.699,0.745,0.652
KC4.arff(CFS),0.64,0.728,0.664,0.69,0.595,0.699,0.717,0.652
KC4.arff(RFE),0.64,0.699,0.625,0.722,0.508,0.721,0.727,0.67
MC1.arff(All),0.021,0.302,0.107,0.0,0.131,0.427,0.397,0.327
MC1.arff(CFS),0.006,0.274,0.0,0.0,0.113,0.37,0.331,0.27
MC1.arff(RFE),0.079,0.479,0.533,0.343,0.04,0.433,0.477,0.467
MC2.arff(All),0.336,0.417,0.523,0.349,0.274,0.484,0.47,0.416
MC2.arff(CFS),0.632,0.665,0.762,0.806,0.56,0.67,0.612,0.651
MC2.arff(RFE),0.619,0.48,0.743,0.676,0.545,0.578,0.495,0.583
MW1.arff(All),0.036,0.1,0.088,0.036,0.031,0.05,0.083,0.044
MW1.arff(CFS),0.076,0.0,0.136,0.0,0.031,0.067,0.18,0.036
MW1.arff(RFE),0.174,0.057,0.04,0.12,0.0,0.0,0.1,0.067
PC1.arff(All),0.106,0.202,0.225,0.033,0.168,0.244,0.229,0.225
PC1.arff(CFS),0.192,0.22,0.253,0.042,0.202,0.242,0.195,0.254
PC1.arff(RFE),0.199,0.218,0.27,0.286,0.197,0.293,0.25,0.276
PC2.arff(All),0.066,0.036,0.179,0.0,0.096,0.044,0.232,0.133
PC2.arff(CFS),0.088,0.111,0.095,0.0,0.152,0.147,0.183,0.067
PC2.arff(RFE),0.098,0.107,0.144,0.144,0.104,0.137,0.094,0.1
PC3.arff(All),0.223,0.277,0.301,0.105,0.251,0.312,0.287,0.281
PC3.arff(CFS),0.276,0.281,0.316,0.253,0.27,0.324,0.295,0.295
PC3.arff(RFE),0.225,0.242,0.246,0.281,0.279,0.269,0.26,0.277
PC4.arff(All),0.27,0.525,0.395,0.102,0.346,0.437,0.398,0.392
PC4.arff(CFS),0.319,0.537,0.507,0.52,0.43,0.525,0.499,0.5
PC4.arff(RFE),0.363,0.534,0.55,0.533,0.484,0.525,0.527,0.526
PC5.arff(All),0.386,0.485,0.475,0.431,0.429,0.486,0.503,0.487
PC5.arff(CFS),0.431,0.459,0.455,0.462,0.461,0.474,0.458,0.462
PC5.arff(RFE),0.418,0.5,0.473,0.487,0.458,0.504,0.495,0.491

False Positive Rate
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
CM1.arff(All),0.38,0.436,0.478,0.176,0.454,0.424,0.402,0.436
CM1.arff(CFS),0.438,0.35,0.374,0.382,0.422,0.358,0.374,0.368
CM1.arff(RFE),0.4,0.334,0.348,0.356,0.274,0.344,0.406,0.298
JM1.arff(All),0.322,0.566,0.468,0.38,0.396,0.542,0.534,0.43
JM1.arff(CFS),0.298,0.582,0.498,0.5,0.364,0.582,0.55,0.422
JM1.arff(RFE),0.474,0.578,0.518,0.552,0.442,0.574,0.554,0.472
KC1.arff(All),0.276,0.57,0.428,0.42,0.312,0.56,0.574,0.362
KC1.arff(CFS),0.272,0.582,0.402,0.392,0.3,0.574,0.584,0.342
KC1.arff(RFE),0.41,0.556,0.434,0.516,0.342,0.558,0.532,0.364
KC3.arff(All),0.5,0.568,0.426,0.332,0.35,0.458,0.458,0.342
KC3.arff(CFS),0.39,0.578,0.4,0.49,0.77,0.522,0.526,0.718
KC3.arff(RFE),0.37,0.486,0.52,0.4,0.75,0.49,0.452,0.652
KC4.arff(All),0.546,0.402,0.322,0.442,0.322,0.442,0.422,0.322
KC4.arff(CFS),0.546,0.382,0.322,0.416,0.322,0.442,0.482,0.322
KC4.arff(RFE),0.546,0.402,0.322,0.376,0.342,0.402,0.422,0.322
MC1.arff(All),0.186,0.036,0.024,0.036,0.092,0.006,0.026,0.016
