AUC
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
CM1.arff(All),0.65,0.8,0.23,0.67,0.7,0.9,0.7,0.57
CM1.arff(CFS),0.8,0.73,0.8,0.85,0.9,0.98,0.58,0.93
CM1.arff(RFE),0.83,0.8,0.73,0.9,0.93,0.77,0.8,0.8
JM1.arff(All),0.48,0.62,0.7,0.5,0.63,0.71,0.63,0.7
JM1.arff(CFS),0.49,0.65,0.71,0.72,0.66,0.71,0.64,0.7
JM1.arff(RFE),0.65,0.62,0.68,0.67,0.64,0.75,0.66,0.69
KC1.arff(All),0.46,0.34,0.59,0.53,0.57,0.43,0.42,0.55
KC1.arff(CFS),0.43,0.46,0.61,0.53,0.58,0.48,0.46,0.53
KC1.arff(RFE),0.52,0.52,0.57,0.54,0.57,0.5,0.56,0.57
KC3.arff(All),0.1,0.3,0.0,0.1,1.0,0.6,1.0,1.0
KC3.arff(CFS),0.1,0.2,0.5,1.0,0.9,0.2,0.25,0.2
KC3.arff(RFE),0.1,0.7,0.2,0.2,0.4,0.9,0.5,0.4
KC4.arff(All),1.0,0.88,0.75,0.78,0.88,0.94,0.88,0.88
KC4.arff(CFS),1.0,0.88,0.81,0.84,0.94,0.94,0.88,0.88
KC4.arff(RFE),1.0,0.75,1.0,0.88,0.84,0.94,0.75,0.88
MC1.arff(All),0.19,0.72,0.89,0.61,0.91,0.93,0.97,0.94
MC1.arff(CFS),0.1,0.49,0.95,0.61,0.96,0.91,0.74,0.99
MC1.arff(RFE),0.99,0.73,0.99,1.0,1.0,0.98,0.75,1.0
MC2.arff(All),0.11,0.33,0.22,0.89,0.0,0.33,0.22,0.11
MC2.arff(CFS),1.0,0.67,0.89,1.0,0.44,0.22,0.33,0.56
MC2.arff(RFE),0.44,0.33,0.67,0.67,0.56,0.56,0.61,0.67
PC1.arff(All),0.63,0.68,0.94,0.5,0.89,0.88,0.87,0.92
PC1.arff(CFS),0.73,0.66,0.88,0.27,0.81,0.83,0.86,0.83
PC1.arff(RFE),0.87,0.84,0.79,0.73,0.93,0.95,0.76,0.97
PC2.arff(All),0.32,0.5,1.0,0.38,0.93,0.85,0.91,0.94
PC2.arff(CFS),0.29,0.47,0.88,0.41,0.91,0.62,0.5,0.91
PC2.arff(RFE),0.97,0.49,1.0,0.18,0.94,0.97,0.97,0.97
PC3.arff(All),0.67,0.81,0.9,0.19,0.82,0.93,0.86,0.92
PC3.arff(CFS),0.89,0.84,0.92,0.91,0.88,0.91,0.79,0.91
PC3.arff(RFE),0.81,0.84,0.82,0.88,0.85,0.9,0.89,0.92
PC4.arff(All),0.67,0.91,0.66,0.6,0.76,0.89,0.73,0.87
PC4.arff(CFS),0.63,0.91,0.89,0.87,0.91,0.89,0.92,0.89
PC4.arff(RFE),0.87,0.91,0.87,0.86,0.91,0.91,0.91,0.89
PC5.arff(All),0.62,0.65,0.73,0.65,0.71,0.74,0.68,0.74
PC5.arff(CFS),0.62,0.6,0.73,0.61,0.74,0.68,0.59,0.72
PC5.arff(RFE),0.7,0.65,0.72,0.69,0.71,0.79,0.72,0.76

F1 Score
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Naive Bayes,Random Forest,Rotation Forest,Voting
CM1.arff(All),20.0,40.0,nan,40.0,36.36,44.44,30.77,36.36
CM1.arff(CFS),25.0,33.33,44.44,40.0,40.0,44.44,25.0,40.0
CM1.arff(RFE),44.44,40.0,40.0,44.44,57.14,44.44,40.0,50.0
JM1.arff(All),26.98,33.33,36.48,22.59,32.82,33.04,34.5,35.17
JM1.arff(CFS),24.15,34.94,36.96,36.07,32.64,33.24,34.07,35.11
JM1.arff(RFE),31.88,32.77,33.95,34.02,31.1,36.1,35.39,33.11
KC1.arff(All),29.27,26.47,40.68,34.48,40.0,29.85,32.35,37.5
KC1.arff(CFS),33.33,35.82,42.31,37.04,37.21,38.24,37.5,39.13
KC1.arff(RFE),46.15,40.0,45.9,36.67,43.14,36.67,40.68,42.31
KC3.arff(All),nan,nan,nan,nan,100.0,nan,100.0,nan
KC3.arff(CFS),nan,nan,nan,66.67,18.18,nan,nan,nan
KC3.arff(RFE),nan,25.0,nan,nan,18.18,28.57,28.57,25.0
KC4.arff(All),88.89,88.89,75.0,75.0,75.0,88.89,88.89,88.89
KC4.arff(CFS),88.89,88.89,88.89,88.89,75.0,88.89,88.89,88.89
KC4.arff(RFE),88.89,80.0,80.0,80.0,88.89,80.0,80.0,88.89
MC1.arff(All),nan,25.0,nan,nan,nan,50.0,50.0,nan
MC1.arff(CFS),nan,nan,nan,nan,40.0,66.67,40.0,66.67
MC1.arff(RFE),20.0,33.33,nan,nan,13.79,66.67,66.67,80.0
MC2.arff(All),nan,33.33,33.33,75.0,nan,28.57,28.57,28.57
MC2.arff(CFS),85.71,75.0,75.0,100.0,57.14,33.33,33.33,57.14
MC2.arff(RFE),57.14,33.33,66.67,40.0,75.0,75.0,57.14,85.71
PC1.arff(All),23.53,40.0,57.14,nan,40.0,40.0,50.0,57.14
PC1.arff(CFS),30.0,36.36,44.44,nan,33.33,46.15,53.33,37.5
PC1.arff(RFE),50.0,66.67,57.14,50.0,61.54,54.55,36.36,72.73
PC2.arff(All),nan,nan,40.0,nan,20.0,nan,40.0,50.0
PC2.arff(CFS),nan,nan,nan,nan,28.57,nan,nan,nan
PC2.arff(RFE),20.0,nan,100.0,nan,22.22,nan,nan,66.67
PC3.arff(All),13.79,32.26,30.3,nan,26.32,33.33,37.04,29.41
PC3.arff(CFS),38.46,35.71,37.04,38.46,33.33,41.67,38.1,35.71
PC3.arff(RFE),22.86,35.71,40.0,31.25,37.04,35.71,35.71,37.04
PC4.arff(All),25.0,50.0,26.67,26.67,28.57,37.04,29.63,32.26
PC4.arff(CFS),28.57,50.0,50.0,50.0,34.48,50.0,52.63,50.0
PC4.arff(RFE),28.57,50.0,50.0,50.0,43.48,50.0,50.0,50.0
PC5.arff(All),44.44,46.15,43.75,37.93,45.28,46.38,43.33,43.33
PC5.arff(CFS),40.74,41.27,42.62,41.79,47.27,45.45,37.68,45.61
PC5.arff(RFE),44.44,45.9,50.0,44.78,48.28,51.43,50.0,48.39
