AUC
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Random Forest,Rotation Forest
PC3.arff.txt (All),0.641,0.763,0.779,0.443,0.835,0.85
PC3.arff.txt (CFS),0.601,0.758,0.823,0.461,0.834,0.8
PC4.arff.txt (CFS),0.762,0.909,0.901,0.858,0.936,0.844
PC4.arff.txt (RFE),0.868,0.909,0.926,0.936,0.941,0.901
PC5.arff.txt (CFS),0.664,0.624,0.696,0.651,0.744,0.659

F1 Score
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Random Forest,Rotation Forest
PC3.arff.txt (All),0.238,0.297,0.285,0.071,0.307,0.337
PC3.arff.txt (CFS),0.212,0.286,0.283,0.103,0.307,0.325
PC4.arff.txt (CFS),0.325,0.562,0.507,0.474,0.545,0.41
PC4.arff.txt (RFE),0.32,0.562,0.585,0.557,0.548,0.527
PC5.arff.txt (CFS),0.464,0.455,0.464,0.462,0.501,0.458

False Positive Rate
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Random Forest,Rotation Forest
PC3.arff.txt (All),0.338,0.336,0.346,0.064,0.33,0.33
PC3.arff.txt (CFS),0.324,0.344,0.35,0.086,0.336,0.31
PC4.arff.txt (CFS),0.434,0.182,0.216,0.226,0.196,0.292
PC4.arff.txt (RFE),0.464,0.182,0.172,0.184,0.194,0.206
PC5.arff.txt (CFS),0.31,0.564,0.5,0.518,0.53,0.516

False Negative Rate
Model name,Complement Naive Bayes,Decision Tree,Logistic regression,Multi Layer Perceptron,Random Forest,Rotation Forest
PC3.arff.txt (All),0.32,0.14,0.14,0.8,0.1,0.0
PC3.arff.txt (CFS),0.44,0.14,0.15,0.84,0.1,0.1
PC4.arff.txt (CFS),0.068,0.0,0.034,0.1,0.0,0.102
PC4.arff.txt (RFE),0.034,0.0,0.0,0.0,0.0,0.034
PC5.arff.txt (CFS),0.4,0.192,0.22,0.212,0.104,0.224
