AUC
Model name,Complement Naive Bayes,Decision Tree,Logistic regression
CM1.arff.txt (All),0.593,0.612,0.681
CM1.arff.txt (CFS),0.756,0.733,0.816
JM1.arff.txt (RFE),0.6,0.522,0.623

F1 Score
Model name,Complement Naive Bayes,Decision Tree,Logistic regression
CM1.arff.txt (All),0.274,0.264,0.277
CM1.arff.txt (CFS),0.32,0.37,0.389
JM1.arff.txt (RFE),0.299,0.268,0.305

False Positive Rate
Model name,Complement Naive Bayes,Decision Tree,Logistic regression
CM1.arff.txt (All),0.415,0.575,0.575
CM1.arff.txt (CFS),0.43,0.375,0.255
JM1.arff.txt (RFE),0.465,0.715,0.36

False Negative Rate
Model name,Complement Naive Bayes,Decision Tree,Logistic regression
CM1.arff.txt (All),0.35,0.2,0.15
CM1.arff.txt (CFS),0.2,0.15,0.3
JM1.arff.txt (RFE),0.38,0.245,0.475
